krzywa;tenor;data konstrukcji krzywej;data zapadalności;stopa zerokuponowa;czynnik dyskontowy
forward_PLN;ON;17/02/2023;20/02/2023;6.9280271230;0.9994307352
forward_PLN;TN;17/02/2023;21/02/2023;6.9283558940;0.9992410163
forward_PLN;SN;17/02/2023;22/02/2023;6.9285531570;0.9990513334
forward_PLN;1W;17/02/2023;28/02/2023;6.9264742020;0.9979147466
forward_PLN;2W;17/02/2023;07/03/2023;6.9224837810;0.9965919929
forward_PLN;3W;17/02/2023;14/03/2023;6.9181627770;0.9952727412
forward_PLN;1M;17/02/2023;21/03/2023;6.8774856420;0.9939885650
forward_PLN;2M;17/02/2023;21/04/2023;6.8737291560;0.9882058578
forward_PLN;3M;17/02/2023;22/05/2023;6.8738784070;0.9824531794
forward_PLN;6M;17/02/2023;21/08/2023;6.8772064130;0.9657434366
forward_PLN;9M;17/02/2023;21/11/2023;6.8846622760;0.9490934768
forward_PLN;1Y;17/02/2023;21/02/2024;6.8271253280;0.9333085444
forward_PLN;15M;17/02/2023;21/05/2024;6.7239243280;0.9189205150
forward_PLN;18M;17/02/2023;21/08/2024;6.5955514530;0.9052304544
forward_PLN;21M;17/02/2023;21/11/2024;6.4573817700;0.8924756328
forward_PLN;2Y;17/02/2023;21/02/2025;6.3204705920;0.8804913019
forward_PLN;27M;17/02/2023;21/05/2025;6.1948358290;0.8694881791
forward_PLN;30M;17/02/2023;21/08/2025;6.0883090950;0.8583086280
forward_PLN;33M;17/02/2023;21/11/2025;5.9793939810;0.8477838536
forward_PLN;3Y;17/02/2023;23/02/2026;5.8612701820;0.8378114660
forward_PLN;39M;17/02/2023;21/05/2026;5.8125898010;0.8274992291
forward_PLN;42M;17/02/2023;21/08/2026;5.7596341890;0.8169809591
forward_PLN;45M;17/02/2023;23/11/2026;5.7041082250;0.8066375943
forward_PLN;4Y;17/02/2023;22/02/2027;5.6456290540;0.7971174780
forward_PLN;51M;17/02/2023;21/05/2027;5.6244632140;0.7870500414
forward_PLN;54M;17/02/2023;23/08/2027;5.6007105510;0.7765642339
forward_PLN;57M;17/02/2023;22/11/2027;5.5767643100;0.7666702882
forward_PLN;5Y;17/02/2023;21/02/2028;5.5488601550;0.7571430108
forward_PLN;63M;17/02/2023;22/05/2028;5.5361401900;0.7472407799
forward_PLN;66M;17/02/2023;21/08/2028;5.5225825060;0.7375488880
forward_PLN;69M;17/02/2023;21/11/2028;5.5079102930;0.7279688097
forward_PLN;6Y;17/02/2023;21/02/2029;5.4896920400;0.7187196330
forward_PLN;75M;17/02/2023;21/05/2029;5.4828871660;0.7094652525
forward_PLN;78M;17/02/2023;21/08/2029;5.4750475420;0.7000852987
forward_PLN;81M;17/02/2023;21/11/2029;5.4663639000;0.6908961050
forward_PLN;7Y;17/02/2023;21/02/2030;5.4544751720;0.6820107300
forward_PLN;87M;17/02/2023;21/05/2030;5.4520271710;0.6731196967
forward_PLN;90M;17/02/2023;21/08/2030;5.4487713670;0.6640952979
forward_PLN;93M;17/02/2023;21/11/2030;5.4447422660;0.6552419820
forward_PLN;8Y;17/02/2023;21/02/2031;5.4377395470;0.6466739591
forward_PLN;99M;17/02/2023;21/05/2031;5.4399528290;0.6380395496
forward_PLN;102;17/02/2023;21/08/2031;5.4415267080;0.6292663617
forward_PLN;105;17/02/2023;21/11/2031;5.4423347140;0.6206505424
forward_PLN;9Y;17/02/2023;23/02/2032;5.4403100920;0.6121240597
forward_PLN;111;17/02/2023;21/05/2032;5.4466247680;0.6037943625
forward_PLN;114;17/02/2023;23/08/2032;5.4525952640;0.5950457734
forward_PLN;117;17/02/2023;22/11/2032;5.4576325660;0.5867225518
forward_PLN;10Y;17/02/2023;21/02/2033;5.4598745860;0.5786632610
forward_PLN;11Y;17/02/2023;21/02/2034;5.4964350870;0.5457130611
forward_PLN;12Y;17/02/2023;21/02/2035;5.5327480850;0.5142782358
forward_PLN;13Y;17/02/2023;21/02/2036;5.5997448760;0.4823714794
forward_PLN;14Y;17/02/2023;23/02/2037;5.6674100160;0.4515856978
forward_PLN;15Y;17/02/2023;22/02/2038;5.7368218290;0.4223428588
forward_PLN;16Y;17/02/2023;21/02/2039;5.7883357470;0.3955799370
forward_PLN;17Y;17/02/2023;21/02/2040;5.8410969140;0.3699946563
forward_PLN;18Y;17/02/2023;21/02/2041;5.8950172710;0.3455711669
forward_PLN;19Y;17/02/2023;21/02/2042;5.9516642830;0.3222963718
forward_PLN;20Y;17/02/2023;23/02/2043;6.0110453280;0.2999856576
forward_PLN;25Y;17/02/2023;21/02/2048;5.9746332390;0.2241824173
forward_PLN;30Y;17/02/2023;21/02/2053;5.9746332390;0.1662347663
